,91731124,75,Chiba,Kagawa
,2700267289,76,Kanagawa,Aichi
,2700267289,76,Aichi,Gifu
,2700267289,76,Gifu,Kanagawa
,2700267289,76,Kanagawa,Tōkyō
,2700267289,76,Tōkyō,Kanagawa
,2700267289,76,Kanagawa,Tōkyō
,2700267289,76,Tōkyō,Ehime
,2473653858,78,Nagasaki,Fukuoka
,2473653858,78,Fukuoka,Chiba
,2473653858,78,Chiba,Tōkyō
,2473653858,78,Tōkyō,Ōsaka
,2473653858,78,Ōsaka,Nagasaki
,2473653858,78,Nagasaki,Fukuoka
,54718006,79,Kanagawa,Tōkyō
,54718006,79,Tōkyō,Fukuoka
,231333956,81,Yamaguchi,Hiroshima
,231333956,81,Hiroshima,Yamaguchi
,4831583926,83,Chiba,Tōkyō
,4831583926,83,Tōkyō,Chiba
,89694800,84,Tōkyō,Chiba
,163611236,85,Aichi,Shizuoka
,232624247,86,Aichi,Chiba
,232624247,86,Chiba,Aichi
,232624247,86,Aichi,Tōkyō
,232624247,86,Tōkyō,Chiba
,232624247,86,Chiba,Tōkyō
,232624247,86,Tōkyō,Aichi
,232624247,86,Aichi,Kyōto
,232624247,86,Kyōto,Aichi
,1962497762,88,Tōkyō,Kanagawa
,1962497762,88,Kanagawa,Tōkyō
,1962497762,88,Tōkyō,Kanagawa
,1962497762,88,Kanagawa,Tōkyō
,1962497762,88,Tōkyō,Kanagawa
,1962497762,88,Kanagawa,Tōkyō
,2808820982,90,Tōkyō,Saitama
,2808820982,90,Saitama,Tōkyō
,367703646,91,Chiba,Tōkyō
,367703646,91,Tōkyō,Chiba
,2205054823,93,Ōsaka,Hyōgo
,2205054823,93,Hyōgo,Ōsaka
,89591633,95,Kanagawa,Saitama
,89591633,95,Saitama,Kanagawa
,183269094,96,Tōkyō,Miyagi
,183269094,96,Miyagi,Tōkyō
,1603825117,97,Ōsaka,Tōkyō
,1603825117,97,Tōkyō,Kanagawa
,1603825117,97,Kanagawa,Yamanashi
,105793846,100,Kanagawa,Miyagi
,105793846,100,Miyagi,Tōkyō
,856286880,101,Aichi,Tōkyō
,702142957969780736,102,Aichi,Tōkyō
,702142957969780736,102,Tōkyō,Chiba
,702142957969780736,102,Chiba,Tōkyō
,702142957969780736,102,Tōkyō,Aichi
,3571830252,103,Ōsaka,Tōkyō
,3571830252,103,Tōkyō,Ōsaka
,1570478323,104,Fukuoka,Tōkyō
,113637045,105,Fukushima,Miyagi
,113637045,105,Miyagi,Fukushima
,113637045,105,Fukushima,Tochigi
,325542585,107,Aichi,Fukuoka
,325542585,107,Fukuoka,Kumamoto
,325542585,107,Kumamoto,Fukuoka
,325542585,107,Fukuoka,Aichi
,6855912,108,Mie,Aichi
,6855912,108,Aichi,Tōkyō
,169419556,109,Fukuoka,Tōkyō
,169419556,109,Tōkyō,Fukushima
,169419556,109,Fukushima,Tōkyō
,5532582,110,Kanagawa,Tōkyō
,5532582,110,Tōkyō,Kanagawa
,321178065,117,Tōkyō,Kanagawa
,321178065,117,Kanagawa,Tōkyō
,321178065,117,Tōkyō,Fukuoka
,321178065,117,Fukuoka,Tōkyō
,321178065,117,Tōkyō,Kanagawa
,82134463,118,Kyōto,Tōkyō
,82134463,118,Tōkyō,Kyōto
,1444295947,119,Ōsaka,Shiga
,1444295947,119,Shiga,Kyōto
,1444295947,119,Kyōto,Ōsaka
,4592026340,121,Miyagi,Yamagata
,4592026340,121,Yamagata,Miyagi
,1167608762,123,Tōkyō,Chiba
,1167608762,123,Chiba,Tōkyō
,956913193,124,Chiba,Tōkyō
,281336680,125,Kōchi,Ehime
,281336680,125,Ehime,Miyazaki
,281336680,125,Miyazaki,Ehime
,281336680,125,Ehime,Kōchi
,397365248,126,Hyōgo,Ōsaka
,239470473,127,Shizuoka,Aichi
,239470473,127,Aichi,Kanagawa
,239470473,127,Kanagawa,Shizuoka
,137011868,129,Tōkyō,Saitama
,137011868,129,Saitama,Tōkyō
,137011868,129,Tōkyō,Saitama
,137011868,129,Saitama,Tōkyō
,137011868,129,Tōkyō,Saitama
,137011868,129,Saitama,Tōkyō
